Participant,gender,block,Efficiency,Partner_cost,PartnerIntention,Gratitude,Guilt,Obligation,Indebtedness,SOB100,Care,Choice,Allocation
6004,2,1,1,18,Strategic,31.67 ,25.74 ,81.11 ,31.85 ,72,32.96 ,1,18
6004,2,1,1,20,Strategic,47.59 ,43.52 ,95.19 ,42.78 ,80,37.41 ,1,20
6004,2,1,2,4,Strategic,14.07 ,11.67 ,15.56 ,8.52 ,16,5.00 ,1,4
6004,2,1,2,6,Strategic,14.81 ,12.04 ,10.93 ,14.07 ,24,14.44 ,1,6
6004,2,1,2,8,Strategic,14.81 ,13.70 ,21.30 ,15.00 ,32,10.19 ,1,8
6004,2,1,2,10,Strategic,54.26 ,53.33 ,30.19 ,48.52 ,40,17.41 ,1,10
6004,2,1,2,12,Strategic,24.81 ,24.07 ,51.85 ,22.22 ,48,26.30 ,1,12
6004,2,1,2,14,Strategic,29.26 ,33.15 ,70.93 ,29.81 ,56,27.41 ,1,14
6004,2,1,2,16,Strategic,26.67 ,27.78 ,76.11 ,28.33 ,64,30.74 ,1,16
6004,2,1,2,18,Strategic,30.56 ,29.81 ,77.78 ,31.85 ,72,33.70 ,1,18
6004,2,1,2,20,Strategic,40.74 ,44.81 ,95.37 ,45.37 ,80,41.85 ,1,20
6004,2,1,3,4,Strategic,9.07 ,10.19 ,14.07 ,9.44 ,16,3.33 ,1,2
6004,2,1,3,6,Strategic,14.63 ,12.41 ,12.41 ,14.26 ,24,12.22 ,1,2
6004,2,1,3,8,Strategic,16.85 ,18.33 ,16.11 ,14.81 ,32,15.74 ,1,3
6004,2,1,3,10,Strategic,21.48 ,20.93 ,37.04 ,18.52 ,40,16.11 ,1,4
6004,2,1,3,12,Strategic,24.07 ,23.33 ,53.33 ,24.07 ,48,21.48 ,1,4
6004,2,1,3,14,Strategic,24.63 ,25.56 ,69.07 ,25.56 ,56,30.56 ,1,5
6004,2,1,3,16,Strategic,32.59 ,28.89 ,76.48 ,27.59 ,64,30.37 ,1,6
6004,2,1,3,18,Strategic,39.07 ,37.96 ,78.15 ,40.93 ,72,39.07 ,1,6
6004,2,1,3,20,Strategic,42.22 ,40.19 ,93.70 ,42.59 ,80,45.56 ,1,7
