Subject,Gender,Run,Trial,Partner_cost,PainReduce,Efficiency,Choice,Allocation,Choice_Miss,Allocation_Miss
304,2,3,60,4,3.2,1,0,1,0,0
304,2,3,61,6,4.8,3,1,3,0,0
304,2,3,62,14,11.2,1,0,5,0,0
304,2,3,63,8,6.4,2,1,7,0,0
304,2,3,64,18,14.4,1,0,6,0,0
304,2,3,65,20,16,2,1,10,0,0
304,2,3,66,12,9.6,3,1,5,0,0
304,2,3,67,16,12.8,3,1,6,0,0
304,2,3,68,4,3.2,2,1,4,0,0
304,2,3,69,14,11.2,2,1,8,0,0
304,2,3,70,8,6.4,1,0,3,0,0
304,2,3,71,16,12.8,1,0,5,0,0
304,2,3,72,10,8,3,1,4,0,0
304,2,3,73,10,8,1,0,4,0,0
304,2,3,74,6,4.8,2,1,6,0,0
304,2,3,75,20,16,3,1,7,0,0
304,2,3,76,4,3.2,3,1,2,0,0
304,2,3,77,12,9.6,1,0,4,0,0
304,2,3,78,18,14.4,3,1,6,0,0
304,2,3,79,8,6.4,3,1,3,0,0
304,2,3,80,12,9.6,2,0,8,0,0
304,2,3,81,16,12.8,2,1,8,0,0
305,1,1,1,6,4.8,2,0,5,0,0
305,1,1,2,4,3.2,1,0,2,0,0
305,1,1,3,14,11.2,2,0,7,0,0
305,1,1,4,14,11.2,1,0,5,0,0
305,1,1,5,20,16,2,0,10,0,0
305,1,1,6,18,14.4,1,0,5,0,0
305,1,1,7,8,6.4,2,0,7,0,0
305,1,1,8,10,8,1,0,4,0,0
305,1,1,9,16,12.8,3,1,5,0,0
305,1,1,10,4,3.2,3,1,2,0,0
305,1,1,11,6,4.8,1,0,2,0,0
305,1,1,12,10,8,3,1,4,0,0
305,1,1,13,20,16,1,0,6,0,0
305,1,1,14,12,9.6,2,1,8,0,0
305,1,1,15,18,14.4,3,1,5,0,0
305,1,1,16,6,4.8,3,1,2,0,0
305,1,1,17,18,14.4,2,1,8,0,0
305,1,1,18,12,9.6,1,0,4,0,0
305,1,1,19,16,12.8,1,0,5,0,0
305,1,1,20,10,8,2,1,5,0,0
305,1,1,21,8,6.4,1,0,3,0,0
305,1,1,22,14,11.2,3,1,5,0,0
305,1,1,23,8,6.4,3,1,3,0,0
305,1,1,24,16,12.8,2,0,9,0,0
305,1,1,25,20,16,3,1,6,0,0
305,1,1,26,4,3.2,2,1,4,0,0
305,1,1,27,12,9.6,3,1,4,0,0
305,1,2,28,6,4.8,2,1,5,0,0
305,1,2,29,16,12.8,3,1,5,0,0
305,1,2,30,14,11.2,2,0,9,0,0
305,1,2,31,4,3.2,1,0,2,0,0
305,1,2,32,20,16,2,1,12,0,0
305,1,2,33,4,3.2,3,1,2,0,0
305,1,2,34,8,6.4,2,1,6,0,0
305,1,2,35,12,9.6,2,1,8,0,0
305,1,2,36,14,11.2,1,0,5,0,0
305,1,2,37,18,14.4,1,0,5,0,0
305,1,2,38,18,14.4,2,0,11,0,0
305,1,2,39,10,8,3,1,4,0,0
305,1,2,40,18,14.4,3,1,5,0,0
305,1,2,41,10,8,1,0,4,0,0
305,1,2,42,6,4.8,3,1,2,0,0
305,1,2,43,14,11.2,3,1,5,0,0
305,1,2,44,10,8,2,1,7,0,0
305,1,2,45,6,4.8,1,0,2,0,0
305,1,2,46,16,12.8,2,0,10,0,0
305,1,2,47,4,3.2,2,1,5,0,0
305,1,2,48,20,16,1,0,6,0,0
305,1,2,49,8,6.4,3,1,4,0,0
305,1,2,50,12,9.6,1,0,4,0,0
305,1,2,51,20,16,3,1,6,0,0
305,1,2,52,12,9.6,3,1,4,0,0
305,1,2,53,16,12.8,1,0,5,0,0
305,1,2,54,8,6.4,1,0,3,0,0
305,1,3,55,16,12.8,3,1,5,0,0
