Subject,Cost,PartnerIntention,Gratitude,Guilt,Obligation,Indebtedness,SOB100,Care
331,20,Altruistic,100,5,5,5,0,100
331,20,Strategic,60,10,10,60,100,60
332,6,Altruistic,20,3,2,19,48,21
332,6,Strategic,4,4,5,8,24,11
332,10,Altruistic,40,4,3,40,80,39
332,10,Strategic,21,4,3,21,40,21
332,14,Altruistic,60,3,29,60,80,59
332,14,Strategic,31,4,15,31,56,31
332,18,Altruistic,79,6,35,71,80,80
332,18,Strategic,50,4,41,49,72,50
332,20,Altruistic,69,3,12,51,80,69
332,20,Strategic,40,3,21,21,80,41
333,6,Altruistic,30,0,0,0,0,31
333,6,Strategic,20,0,0,40,24,30
333,10,Altruistic,60,0,0,0,0,50
333,10,Strategic,40,0,20,20,40,40
333,14,Altruistic,79,0,0,60,0,70
333,14,Strategic,71,0,60,100,56,60
333,18,Altruistic,100,0,0,40,0,91
333,18,Strategic,95,0,80,100,80,80
333,20,Altruistic,100,0,0,0,0,100
333,20,Strategic,100,0,40,100,100,100
334,6,Altruistic,44,58,34,47,0,44
334,6,Strategic,28,9,18,18,24,20
334,10,Altruistic,69,56,33,80,8,71
334,10,Strategic,59,0,43,39,48,50
334,14,Altruistic,89,88,38,65,24,84
334,14,Strategic,66,32,44,31,72,65
334,18,Altruistic,100,82,60,63,40,92
334,18,Strategic,81,23,40,39,100,79
334,20,Altruistic,100,100,85,100,60,100
334,20,Strategic,100,87,44,75,100,100
335,6,Altruistic,34,5,4,6,24,34
335,6,Strategic,8,0,12,21,20,14
335,10,Altruistic,42,0,3,11,52,67
335,10,Strategic,15,0,13,6,40,14
335,14,Altruistic,50,13,5,10,60,49
335,14,Strategic,31,4,13,12,56,32
335,18,Altruistic,62,9,10,8,60,62
335,18,Strategic,45,8,13,6,72,52
335,20,Altruistic,84,21,0,5,40,83
335,20,Strategic,33,14,21,13,80,36
336,6,Altruistic,36,34,14,24,0,21
336,6,Strategic,30,17,29,15,40,20
336,10,Altruistic,60,40,20,40,0,40
